"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61"
"23" -52 -45 -38 -40 -40 -38 -34 -26 -28 -30 -32 -34 -36 -38 -34 -34 -28 -30 -22 -24 -26 -19 -21 -14 -16 -18 -20 -22 -24 -26 -28 -30 -32 -34 -36 -38 -40 -42 -44 -46 -48 -50 -52 -54 -56 -58 -60 -55 -57 -50 -52 -54 -56 -58 -60 -62 -64 -66 -68 -70 -72
"24" -54 -47 -40 -42 -42 -40 -36 -28 -30 -32 -34 -28 -30 -32 -34 -36 -30 -24 -24 -26 -28 -21 -15 -16 -18 -20 -22 -24 -26 -28 -30 -32 -26 -28 -30 -32 -34 -36 -38 -40 -42 -44 -46 -48 -50 -52 -54 -56 -51 -52 -54 -56 -58 -60 -62 -64 -66 -68 -70 -72 -74
"25" -56 -49 -42 -44 -44 -42 -38 -30 -32 -34 -36 -30 -32 -34 -36 -38 -32 -26 -26 -28 -30 -23 -17 -18 -20 -22 -24 -26 -28 -30 -32 -34 -28 -30 -32 -34 -36 -38 -40 -42 -44 -46 -48 -50 -52 -54 -56 -49 -51 -53 -55 -57 -59 -61 -63 -65 -67 -69 -71 -73 -75
"26" -58 -51 -44 -46 -46 -44 -40 -32 -34 -36 -38 -32 -34 -36 -38 -40 -34 -28 -20 -22 -24 -25 -19 -20 -22 -24 -26 -28 -30 -32 -34 -36 -30 -32 -34 -36 -38 -40 -42 -44 -46 -48 -50 -52 -44 -46 -48 -50 -52 -54 -56 -58 -60 -62 -64 -57 -59 -61 -63 -65 -67
"27" -60 -53 -46 -48 -48 -46 -42 -34 -36 -38 -40 -34 -36 -38 -40 -42 -36 -30 -22 -24 -26 -27 -21 -22 -24 -26 -28 -30 -32 -34 -36 -28 -30 -32 -34 -36 -38 -40 -42 -44 -46 -48 -50 -44 -46 -48 -50 -52 -54 -56 -58 -60 -62 -54 -56 -58 -60 -62 -64 -66 -68
"28" -62 -55 -48 -42 -44 -46 -44 -36 -38 -40 -42 -36 -38 -40 -42 -44 -38 -32 -24 -26 -28 -29 -23 -24 -26 -28 -30 -32 -34 -36 -38 -30 -32 -34 -36 -38 -40 -42 -44 -46 -48 -50 -52 -46 -48 -50 -52 -54 -56 -58 -60 -54 -56 -56 -58 -60 -62 -64 -66 -68 -70
"29" -64 -57 -50 -44 -46 -48 -46 -38 -40 -42 -44 -38 -40 -42 -44 -46 -40 -34 -26 -28 -30 -31 -25 -26 -28 -30 -32 -34 -36 -38 -40 -32 -34 -36 -38 -40 -42 -44 -46 -48 -50 -52 -54 -48 -40 -42 -44 -46 -48 -50 -52 -54 -56 -58 -60 -52 -54 -56 -58 -60 -62
"30" -66 -59 -52 -46 -48 -50 -48 -40 -42 -44 -46 -40 -42 -44 -46 -48 -42 -36 -28 -30 -32 -33 -27 -20 -22 -24 -26 -28 -30 -32 -34 -34 -36 -38 -40 -42 -44 -46 -48 -50 -52 -54 -56 -50 -42 -44 -46 -48 -50 -43 -45 -47 -49 -51 -53 -54 -56 -49 -51 -53 -55
"31" -68 -61 -54 -48 -50 -38 -40 -42 -44 -46 -34 -36 -38 -40 -42 -44 -44 -38 -30 -32 -34 -35 -29 -22 -24 -26 -28 -30 -32 -34 -36 -36 -38 -40 -42 -44 -46 -48 -50 -52 -54 -56 -58 -52 -44 -46 -48 -50 -52 -45 -33 -35 -37 -39 -41 -43 -45 -47 -49 -41 -43
"32" -70 -63 -56 -50 -52 -40 -42 -44 -46 -48 -36 -38 -40 -42 -38 -40 -42 -40 -32 -34 -36 -37 -31 -24 -26 -28 -30 -32 -34 -36 -38 -38 -40 -42 -44 -46 -48 -50 -52 -54 -56 -58 -60 -54 -46 -42 -44 -46 -48 -47 -35 -37 -39 -41 -37 -39 -41 -43 -45 -43 -45
"33" -72 -65 -58 -52 -54 -42 -44 -46 -48 -50 -38 -40 -42 -44 -40 -42 -44 -42 -34 -36 -38 -39 -33 -26 -28 -30 -32 -34 -36 -38 -30 -32 -34 -36 -38 -40 -42 -44 -46 -48 -50 -52 -54 -56 -48 -44 -46 -48 -50 -49 -37 -39 -41 -43 -39 -41 -43 -45 -47 -45 -47
"34" -74 -67 -60 -54 -56 -44 -46 -48 -50 -52 -40 -42 -44 -46 -42 -44 -46 -44 -36 -38 -40 -41 -35 -28 -30 -32 -34 -36 -38 -40 -32 -34 -36 -38 -40 -42 -44 -46 -48 -50 -52 -54 -56 -58 -50 -46 -48 -50 -52 -51 -39 -41 -43 -45 -41 -43 -45 -47 -49 -47 -49
"35" -76 -69 -62 -56 -58 -46 -48 -50 -52 -54 -42 -44 -46 -48 -44 -46 -48 -46 -38 -40 -42 -43 -37 -30 -32 -34 -36 -38 -40 -42 -34 -36 -38 -40 -42 -44 -46 -48 -50 -52 -54 -56 -58 -60 -52 -48 -50 -52 -54 -47 -41 -43 -45 -47 -43 -45 -47 -40 -42 -44 -46
"36" -78 -71 -64 -58 -60 -48 -50 -52 -54 -56 -44 -38 -40 -42 -44 -46 -48 -44 -40 -42 -44 -45 -39 -32 -34 -36 -38 -40 -42 -44 -36 -38 -32 -34 -36 -38 -40 -42 -44 -46 -48 -50 -52 -54 -54 -50 -52 -54 -48 -49 -43 -45 -47 -49 -45 -47 -49 -42 -44 -46 -48
"37" -80 -73 -66 -60 -62 -50 -52 -54 -35 -37 -39 -40 -42 -44 -46 -48 -50 -46 -42 -44 -46 -47 -41 -34 -36 -38 -40 -42 -44 -46 -38 -40 -34 -36 -38 -40 -42 -44 -46 -27 -29 -31 -33 -35 -37 -39 -41 -43 -45 -47 -45 -47 -49 -51 -47 -49 -51 -44 -46 -48 -50
"38" -82 -75 -68 -62 -64 -52 -54 -56 -37 -39 -41 -42 -44 -46 -48 -50 -52 -48 -44 -46 -48 -49 -43 -36 -38 -24 -26 -28 -30 -32 -34 -36 -36 -38 -40 -42 -44 -46 -48 -29 -31 -33 -35 -37 -39 -41 -43 -45 -47 -49 -47 -49 -51 -53 -49 -51 -53 -46 -48 -50 -52
"39" -84 -77 -70 -64 -66 -54 -56 -58 -39 -41 -43 -37 -39 -41 -43 -45 -47 -48 -46 -48 -50 -51 -45 -38 -40 -26 -28 -30 -32 -34 -36 -38 -32 -34 -34 -36 -38 -40 -42 -31 -33 -35 -37 -39 -41 -43 -45 -47 -41 -43 -45 -47 -49 -51 -51 -53 -55 -48 -50 -52 -54
"40" -86 -79 -72 -66 -68 -56 -52 -54 -41 -43 -45 -39 -41 -43 -45 -47 -49 -50 -48 -50 -52 -53 -47 -40 -42 -28 -30 -32 -34 -36 -38 -40 -34 -36 -36 -38 -40 -42 -44 -33 -35 -37 -33 -35 -37 -39 -41 -43 -43 -45 -47 -49 -51 -53 -53 -55 -57 -50 -52 -54 -56
"41" -88 -81 -74 -68 -70 -58 -54 -56 -43 -45 -47 -41 -43 -37 -39 -41 -43 -45 -47 -49 -51 -53 -49 -42 -44 -30 -32 -34 -36 -38 -40 -42 -36 -38 -38 -40 -42 -44 -46 -35 -37 -39 -35 -37 -39 -41 -43 -45 -45 -47 -49 -51 -53 -55 -55 -57 -59 -52 -54 -56 -58
"42" -90 -83 -76 -70 -72 -60 -56 -58 -45 -47 -49 -43 -45 -39 -41 -43 -45 -47 -49 -51 -53 -55 -51 -44 -46 -32 -34 -29 -31 -33 -35 -37 -38 -40 -40 -42 -44 -46 -48 -37 -39 -41 -37 -39 -41 -43 -45 -47 -47 -49 -51 -53 -55 -57 -57 -59 -61 -54 -56 -58 -60
"43" -92 -85 -78 -72 -74 -62 -58 -60 -47 -49 -51 -45 -47 -41 -43 -45 -47 -49 -51 -53 -55 -48 -50 -46 -48 -34 -36 -31 -33 -35 -37 -39 -40 -42 -42 -44 -46 -48 -50 -39 -41 -43 -39 -41 -43 -45 -47 -40 -42 -44 -46 -48 -50 -52 -54 -56 -58 -56 -58 -60 -62
"44" -94 -87 -80 -74 -76 -64 -60 -62 -49 -51 -53 -47 -49 -43 -39 -41 -43 -45 -47 -49 -51 -50 -52 -48 -50 -36 -38 -33 -35 -37 -39 -41 -42 -44 -44 -46 -48 -50 -52 -41 -43 -45 -41 -43 -45 -41 -43 -42 -44 -46 -48 -50 -52 -54 -50 -52 -54 -56 -58 -60 -62
"45" -96 -89 -82 -76 -78 -66 -62 -64 -51 -53 -55 -49 -51 -45 -41 -43 -45 -47 -49 -51 -53 -52 -54 -47 -49 -38 -40 -35 -37 -39 -41 -43 -44 -46 -46 -48 -50 -52 -54 -43 -45 -47 -43 -45 -47 -43 -45 -44 -46 -39 -41 -43 -45 -47 -49 -51 -53 -49 -51 -53 -55
"46" -98 -91 -84 -78 -80 -68 -64 -66 -53 -55 -57 -51 -53 -47 -43 -45 -47 -49 -51 -53 -55 -54 -56 -49 -51 -40 -42 -37 -39 -41 -43 -45 -46 -48 -48 -50 -52 -54 -56 -45 -47 -49 -45 -47 -49 -45 -47 -46 -48 -41 -43 -45 -47 -49 -51 -53 -55 -51 -53 -55 -57
"47" -100 -93 -86 -80 -82 -70 -66 -68 -55 -57 -59 -53 -55 -49 -45 -47 -49 -51 -53 -55 -57 -56 -58 -51 -53 -42 -44 -39 -41 -43 -45 -47 -48 -50 -50 -52 -54 -56 -58 -47 -49 -51 -47 -49 -51 -47 -49 -48 -50 -43 -45 -47 -49 -51 -53 -55 -57 -50 -52 -54 -56
"48" -102 -95 -88 -82 -84 -72 -68 -70 -51 -53 -55 -55 -57 -51 -47 -49 -51 -53 -55 -57 -59 -58 -60 -53 -55 -44 -46 -41 -43 -45 -47 -49 -50 -52 -52 -54 -56 -58 -60 -41 -30 -32 -34 -36 -38 -40 -42 -44 -46 -45 -47 -49 -51 -53 -55 -57 -59 -52 -54 -56 -58
"49" -104 -97 -90 -84 -86 -74 -70 -72 -53 -55 -57 -57 -59 -53 -49 -51 -53 -55 -57 -59 -61 -60 -62 -55 -57 -46 -48 -43 -45 -47 -49 -51 -52 -54 -54 -56 -58 -60 -62 -43 -32 -34 -36 -38 -40 -42 -44 -46 -48 -47 -49 -43 -45 -47 -49 -51 -53 -54 -56 -58 -60
"50" -106 -99 -92 -86 -88 -76 -72 -74 -55 -57 -59 -59 -51 -53 -51 -53 -55 -57 -59 -51 -53 -55 -57 -57 -59 -48 -50 -45 -47 -49 -51 -53 -54 -56 -56 -58 -60 -62 -64 -45 -34 -36 -38 -40 -42 -44 -46 -48 -50 -49 -51 -45 -37 -39 -41 -43 -45 -47 -49 -51 -52
"51" -108 -101 -94 -88 -90 -78 -74 -76 -57 -59 -61 -61 -53 -55 -53 -55 -57 -59 -61 -53 -55 -57 -59 -59 -61 -50 -52 -47 -49 -51 -53 -55 -56 -58 -58 -60 -62 -64 -66 -47 -36 -38 -40 -42 -44 -46 -48 -50 -52 -51 -53 -47 -39 -41 -43 -45 -47 -49 -51 -53 -54
"52" -110 -103 -96 -90 -92 -80 -76 -78 -59 -61 -63 -63 -55 -57 -53 -55 -57 -59 -61 -55 -57 -59 -61 -61 -63 -52 -54 -49 -51 -53 -55 -57 -58 -60 -60 -62 -64 -66 -68 -49 -38 -40 -42 -44 -46 -42 -44 -46 -48 -50 -52 -49 -41 -43 -39 -41 -43 -45 -47 -49 -51
"53" -112 -105 -98 -92 -94 -82 -78 -80 -61 -63 -51 -53 -55 -57 -55 -57 -59 -61 -63 -57 -59 -61 -63 -63 -65 -54 -56 -51 -53 -55 -57 -59 -60 -62 -62 -64 -66 -68 -70 -51 -40 -42 -44 -46 -48 -44 -46 -48 -50 -52 -40 -42 -43 -45 -41 -43 -45 -47 -49 -37 -39
"54" -114 -107 -100 -94 -87 -84 -80 -82 -63 -65 -53 -55 -57 -59 -57 -59 -61 -63 -65 -59 -61 -63 -65 -65 -67 -56 -58 -53 -46 -48 -50 -52 -54 -56 -58 -60 -62 -61 -63 -53 -42 -44 -46 -48 -50 -46 -48 -50 -52 -54 -42 -44 -45 -47 -43 -45 -47 -49 -51 -39 -41
"55" -116 -109 -102 -96 -89 -86 -82 -84 -65 -67 -55 -57 -59 -61 -59 -61 -63 -65 -67 -61 -63 -65 -67 -67 -69 -58 -60 -55 -48 -50 -52 -54 -56 -58 -60 -62 -64 -63 -65 -55 -44 -46 -48 -50 -52 -48 -50 -52 -54 -56 -44 -46 -47 -49 -45 -47 -49 -51 -53 -41 -43
"56" -118 -111 -104 -98 -91 -88 -84 -86 -67 -69 -57 -59 -51 -53 -55 -57 -59 -61 -63 -61 -63 -65 -67 -69 -71 -60 -62 -57 -50 -52 -54 -56 -58 -60 -62 -64 -66 -65 -67 -57 -46 -48 -50 -52 -54 -50 -52 -54 -56 -58 -46 -48 -40 -42 -44 -46 -48 -50 -52 -43 -35
"57" -120 -113 -106 -100 -93 -90 -86 -88 -69 -71 -59 -61 -53 -55 -57 -59 -61 -63 -65 -63 -65 -67 -69 -71 -73 -62 -64 -59 -52 -54 -56 -58 -60 -62 -64 -66 -68 -67 -69 -59 -48 -50 -52 -54 -56 -52 -54 -56 -58 -60 -48 -42 -42 -44 -46 -48 -50 -52 -54 -45 -37
"58" -122 -115 -108 -102 -95 -92 -88 -90 -71 -73 -61 -63 -55 -57 -53 -55 -57 -59 -61 -63 -65 -67 -69 -71 -73 -64 -66 -61 -54 -56 -58 -60 -62 -64 -66 -68 -70 -69 -71 -61 -50 -52 -54 -56 -58 -54 -56 -58 -60 -62 -50 -44 -44 -46 -42 -44 -46 -48 -50 -47 -39
